CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size
1628,Male,25,136056,7,Marketing,3,1
750,Female,83,129005,27,Engineer,9,1
1939,Female,98,166973,48,,6,1
1213,Male,89,61205,24,Marketing,0,2
942,Male,89,43795,29,Executive,5,5
2000,Male,29,167201,77,Marketing,5,3
1926,Male,22,28659,4,,5,4
737,Male,99,53865,34,Healthcare,0,2
1401,Male,89,42053,8,Entertainment,1,1
1495,Male,83,158022,0,Artist,0,4
2000,Male,47,96441,29,Healthcare,5,4
1467,Male,99,111922,0,Executive,2,5
1065,Female,99,39982,0,Marketing,0,1
1421,Male,45,188353,46,Lawyer,0,2
2000,Female,44,102531,2,Entertainment,1,7
1510,Male,23,179692,28,Executive,8,5
2000,Female,75,134492,73,Lawyer,6,5
647,Female,67,146710,0,,4,2
821,Male,83,96430,19,Doctor,1,1
389,Male,72,135178,29,Healthcare,0,4
2000,Female,88,77326,30,Healthcare,7,4
633,Female,92,76034,68,Executive,7,7
674,Female,75,99398,83,Engineer,8,2
1441,Female,77,133575,4,Marketing,4,2
420,Male,71,151942,37,Marketing,1,5
973,Male,88,137162,15,Lawyer,9,5
1129,Male,22,178217,38,Engineer,5,4
2000,Male,93,50056,22,Executive,0,4
1770,Male,92,132759,14,Lawyer,7,6
1660,Female,94,17309,81,Homemaker,2,7
1450,Female,93,98716,87,Marketing,1,2
1659,Male,14,30900,68,Marketing,6,4
1199,Male,81,72133,17,Executive,6,7
2000,Female,99,108927,91,Executive,0,1
2000,Male,76,36331,27,Executive,0,1
1139,Male,53,149022,32,Artist,5,4
1712,Male,36,23420,14,Entertainment,0,5
1450,Female,51,133316,9,Healthcare,3,1
1892,Female,84,27523,70,Artist,0,2
2000,Male,60,66770,67,Artist,6,5
1069,Male,81,81556,82,Artist,1,4
1802,Female,52,38240,1,Entertainment,1,1
1573,Male,98,0,17,Doctor,0,1
782,Female,56,154196,55,Artist,0,4
2000,Male,90,74732,11,Doctor,1,5
2000,Female,41,106120,31,Executive,0,2
724,Male,57,87084,1,Entertainment,0,5
2000,Male,96,148397,31,Artist,5,1
1418,Male,38,44676,0,Healthcare,2,1
1840,Male,99,154401,67,Marketing,0,6
2000,Male,43,53345,62,Doctor,7,7
2000,Male,78,116376,91,Artist,6,5
810,Female,57,95722,5,Doctor,7,4
1505,Female,61,136074,0,Healthcare,0,3
1736,Female,91,93276,18,Executive,0,1
1347,Female,89,126655,54,Doctor,0,5
387,Male,90,85131,16,,4,4
2000,Male,73,48782,36,Lawyer,7,1
1366,Female,65,113326,30,Lawyer,1,5
1174,Female,38,51960,59,,0,2
2000,Male,83,106274,4,Entertainment,6,7
310,Male,72,70921,61,Engineer,0,7
1115,Male,87,25607,25,Engineer,0,7
1149,Female,37,84317,0,Entertainment,9,2
1011,Female,13,129495,100,Engineer,5,5
2000,Female,47,162118,90,Homemaker,9,1
1521,Female,29,132540,20,Doctor,6,4
1422,Male,16,42411,30,Artist,1,5
1439,Male,45,115867,31,Artist,0,4
1302,Female,89,50913,6,Doctor,4,5
1127,Female,76,62257,52,Marketing,5,3
1199,Female,59,119083,40,Marketing,5,1
1686,Male,37,148390,49,,4,7
297,Male,67,56760,35,Healthcare,2,2
2000,Male,18,71779,6,Doctor,3,1
1901,Female,59,127855,2,Homemaker,1,5
1524,Female,45,159968,45,Entertainment,0,1
2000,Male,97,142885,46,Homemaker,1,1
1457,Male,56,114331,0,Artist,5,2
1876,Female,65,174465,54,Artist,7,4
1767,Female,99,106586,0,Marketing,8,5
961,Female,82,143967,7,Homemaker,7,5
