GAIN v1,GAIN v1,GAIN v1,GAIN v1,GAIN v1
mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds)
[0.2986; 0.3038],[0.0; 0.0],[0.2986; 0.3038],[8.9202; 9.23],[214.227; 224.5298]
[0.2948; 0.3264],[0.0; 0.0],[0.2948; 0.3264],[8.668; 10.719],[115.6952; 867.2106]
[0.2991; 0.3055],[0.0; 0.0],[0.2991; 0.3055],[8.9431; 9.3359],[286.7699; 292.1133]
[0.1278; 0.1336],[0.1278; 0.1336],[0.0; 0.0],[0.0; 0.0],[80.2641; 81.3251]
[0.1369; 0.1451],[0.1369; 0.1451],[0.0; 0.0],[0.0; 0.0],[21.2092; 21.3458]
[0.1436; 0.1634],[0.1436; 0.1634],[0.0; 0.0],[0.0; 0.0],[21.2994; 21.3692]
[0.451; 0.4632],[0.1889; 0.2093],[0.4053; 0.4171],[16.4328; 17.4064],[101.4431; 103.9249]
[0.4793; 0.5253],[0.2399; 0.2813],[0.4116; 0.4462],[16.9722; 19.9376],[124.1753; 128.0031]
[0.4823; 0.5097],[0.2302; 0.2602],[0.4162; 0.445],[17.3132; 19.8504],[125.0451; 127.3987]
[0.2791; 0.2939],[0.0656; 0.1036],[0.2636; 0.281],[6.9484; 7.9154],[123.0236; 124.9462]
[0.2922; 0.3134],[0.1069; 0.1551],[0.2657; 0.2767],[7.0632; 7.6622],[123.0503; 124.9007]
[0.3173; 0.4143],[0.134; 0.2454],[0.2836; 0.3332],[8.0069; 11.2559],[123.4548; 125.5914]
[0.4913; 0.5659],[0.1969; 0.2087],[0.4481; 0.5273],[20.1248; 28.0608],[154.8964; 157.1596]
[0.5467; 0.6169],[0.2889; 0.3133],[0.4529; 0.5397],[20.6258; 29.3728],[123.1843; 131.0881]
[0.4855; 0.5325],[0.1913; 0.2099],[0.4439; 0.4913],[19.7657; 24.1901],[163.5234; 172.2716]
