GAIN v2,GAIN v2,GAIN v2,GAIN v2,GAIN v2,GAIN v2
mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),nan
[0.3034; 0.3124],[0.0; 0.0],[0.3034; 0.3124],[9.2052; 9.7628],[86.2209; 87.6031],
[0.296; 0.3012],[0.0; 0.0],[0.296; 0.3012],[8.7575; 9.0731],[132.1886; 133.8758],
[0.3068; 0.3152],[0.0; 0.0],[0.3068; 0.3152],[9.4154; 9.9406],[132.7046; 134.931],
[0.1427; 0.1551],[0.1427; 0.1551],[0.0; 0.0],[0.0; 0.0],[28.0606; 37.5942],
[0.134; 0.1422],[0.134; 0.1422],[0.0; 0.0],[0.0; 0.0],[7.04; 7.1006],
[0.1379; 0.1411],[0.1379; 0.1411],[0.0; 0.0],[0.0; 0.0],[6.8757; 6.9091],
[0.4484; 0.4596],[0.1627; 0.1731],[0.4172; 0.4264],[17.4039; 18.1855],[40.8879; 43.5495],
[0.4905; 0.4989],[0.2236; 0.2366],[0.4335; 0.4421],[18.7965; 19.5439],[53.8793; 54.7057],
[0.5218; 0.5472],[0.2586; 0.3108],[0.4386; 0.4632],[19.2379; 21.4799],[51.6986; 52.7146],
[0.2773; 0.2917],[0.0884; 0.1194],[0.2612; 0.267],[6.8298; 7.1266],[47.2618; 48.6526],
[0.3003; 0.3283],[0.1015; 0.1581],[0.2806; 0.2876],[7.8758; 8.273],[47.6234; 47.9292],
[0.3339; 0.3615],[0.1727; 0.2193],[0.2802; 0.2916],[7.8589; 8.5047],[45.2955; 53.6793],
[0.4978; 0.5182],[0.1986; 0.2064],[0.4548; 0.477],[20.6952; 22.762],[59.3956; 61.6008],
[0.5079; 0.5383],[0.2499; 0.3039],[0.4372; 0.448],[19.1193; 20.0703],[42.8507; 43.4635],
[0.5119; 0.5293],[0.2185; 0.2519],[0.456; 0.4718],[20.7948; 22.2682],[54.5477; 66.5001],
