,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,IMPUTATION,,,,,,,,,,,,,,,,,,,,,,,,,PREDICTION,,,,,,,,,,,,,,
,,0 % CTGAN,,,,,50 % CTGAN,,,,,100 % CTGAN,,,,,200 % CTGAN,,,,,500 % CTGAN,,,,,0 % CTGAN,,,50 % CTGAN,,,100 % CTGAN,,,200 % CTGAN,,,500 % CTGAN,,
Dataset,Missing %,mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),Accuracy,AUROC,MSE,Accuracy,AUROC,MSE,Accuracy,AUROC,MSE,Accuracy,AUROC,MSE,Accuracy,AUROC,MSE
Mushroom,10,"[0.2986, 0.3038]",-,"[0.2986, 0.3038]","[8.9202, 9.23]","[214.227, 224.5298]","[0.3053, 0.3143]",-,"[0.3053, 0.3143]","[9.3262, 9.8808]","[219.2094, 220.941]","[0.3094, 0.32]",-,"[0.3094, 0.32]","[9.5733, 10.2393]","[219.2325, 221.2327]","[0.314, 0.3198]",-,"[0.314, 0.3198]","[9.8626, 10.2296]","[200.9038, 205.0098]","[0.3261, 0.3353]",-,"[0.3261, 0.3353]","[10.6351, 11.2405]","[272.4958, 275.4632]","[0.9946, 0.9974]","[0.9944, 0.9972]",-,"[0.9943, 0.9977]","[0.9942, 0.9976]",-,"[0.9939, 0.9969]","[0.9953, 0.9953]",-,"[0.9929, 0.9961]","[0.9943, 0.9943]",-,"[0.9909, 0.9949]","[0.9929, 0.9929]",-
,30,"[0.2948, 0.3264]",-,"[0.2948, 0.3264]","[8.668, 10.719]","[115.6952, 867.2106]","[0.2976, 0.3032]",-,"[0.2976, 0.3032]","[8.8549, 9.1917]","[319.1428, 321.5842]","[0.2995, 0.3063]",-,"[0.2995, 0.3063]","[8.9726, 9.3774]","[312.4548, 314.3218]","[0.3052, 0.3096]",-,"[0.3052, 0.3096]","[9.3149, 9.5851]","[291.0009, 293.9769]","[0.3096, 0.3144]",-,"[0.3096, 0.3144]","[9.5894, 9.8832]","[294.1031, 296.9455]","[0.9866, 0.9944]","[0.9865, 0.9943]",-,"[0.99, 0.9952]","[0.9898, 0.9952]",-,"[0.9849, 0.9911]","[0.9879, 0.9879]",-,"[0.9883, 0.9921]","[0.9899, 0.9899]",-,"[0.9851, 0.9909]","[0.9879, 0.9879]",-
,50,"[0.2991, 0.3055]",-,"[0.2991, 0.3055]","[8.9431, 9.3359]","[286.7699, 292.1133]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[0.9713, 0.9795]","[0.9711, 0.9793]",-,-,-,-,-,-,-,-,-,-,-,-,-
Letter,10,"[0.1278, 0.1336]","[0.1278, 0.1336]",-,-,"[80.2641, 81.3251]","[0.1403, 0.1479]","[0.1403, 0.1479]",-,-,"[81.2913, 83.8507]","[0.141, 0.1484]","[0.141, 0.1484]",-,-,"[82.3464, 83.6602]","[0.1468, 0.155]","[0.1468, 0.155]",-,-,"[85.4667, 87.3249]","[0.1539, 0.1591]","[0.1539, 0.1591]",-,-,"[93.31, 94.8172]","[0.772, 0.7812]","[0.8808, 0.8856]",-,"[0.7578, 0.7682]","[0.8741, 0.8793]",-,"[0.7566, 0.7706]","[0.8733, 0.8799]",-,"[0.7508, 0.7682]","[0.8692, 0.8784]",-,"[0.7417, 0.7561]","[0.8644, 0.8722]",-
,30,"[0.1369, 0.1451]","[0.1369, 0.1451]",-,-,"[21.2092, 21.3458]","[0.2152, 0.233]","[0.2152, 0.233]",-,-,"[22.5887, 22.6357]","[0.2345, 0.2497]","[0.2345, 0.2497]",-,-,"[23.3749, 23.4415]","[0.2587, 0.2775]","[0.2587, 0.2775]",-,-,"[25.9867, 26.2843]","[0.2623, 0.2759]","[0.2623, 0.2759]",-,-,"[262.0255, 262.0955]","[0.5231, 0.5501]","[0.7535, 0.7673]",-,"[0.4165, 0.4493]","[0.6976, 0.714]",-,"[0.3889, 0.4099]","[0.6833, 0.6939]",-,"[0.3878, 0.4048]","[0.682, 0.6912]",-,"[0.371, 0.392]","[0.6732, 0.6838]",-
,50,"[0.1436, 0.1634]","[0.1436, 0.1634]",-,-,"[21.2994, 21.3692]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[0.3331, 0.3585]","[0.6551, 0.6679]",-,-,-,-,-,-,-,-,-,-,-,-,-
Bank,10,"[0.451, 0.4632]","[0.1889, 0.2093]","[0.4053, 0.4171]","[16.4328, 17.4064]","[101.4431, 103.9249]","[0.4984, 0.5172]","[0.2359, 0.2657]","[0.4327, 0.4495]","[18.7273, 20.2079]","[104.8297, 106.1343]","[0.5083, 0.5443]","[0.2535, 0.2979]","[0.4383, 0.4573]","[19.2054, 20.9294]","[106.2673, 108.2887]","[0.5131, 0.5379]","[0.2566, 0.2902]","[0.4418, 0.455]","[19.5307, 20.7001]","[112.6758, 114.6458]","[0.5312, 0.5466]","[0.2714, 0.2898]","[0.4508, 0.469]","[20.309, 22.0182]","[131.4944, 132.544]","[0.8818, 0.8842]","[0.578, 0.5858]",-,"[0.8828, 0.885]","[0.5809, 0.5901]",-,"[0.8838, 0.8856]","[0.5841, 0.5903]",-,"[0.8825, 0.8853]","[0.5789, 0.5897]",-,"[0.883, 0.885]","[0.5817, 0.5911]",-
,30,"[0.4793, 0.5253]","[0.2399, 0.2813]","[0.4116, 0.4462]","[16.9722, 19.9376]","[124.1753, 128.0031]","[0.5215, 0.5403]","[0.2639, 0.2933]","[0.4448, 0.4582]","[19.787, 21.0086]","[126.6351, 129.6407]","[0.5291, 0.5457]","[0.2753, 0.2937]","[0.4442, 0.467]","[19.7482, 21.8144]","[129.4719, 131.8809]","[0.5189, 0.5403]","[0.2757, 0.3041]","[0.4365, 0.4493]","[19.0597, 20.1857]","[135.7127, 137.4503]","[0.531, 0.5448]","[0.2827, 0.3025]","[0.4439, 0.4583]","[19.7049, 21.0155]","[152.367, 154.7644]","[0.8819, 0.8839]","[0.5678, 0.5768]",-,"[0.8823, 0.8851]","[0.5662, 0.581]",-,"[0.8818, 0.8838]","[0.5655, 0.5753]",-,"[0.8825, 0.8843]","[0.568, 0.5756]",-,"[0.8817, 0.8849]","[0.5665, 0.5751]",-
,50,"[0.4823, 0.5097]","[0.2302, 0.2602]","[0.4162, 0.445]","[17.3132, 19.8504]","[125.0451, 127.3987]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[0.8741, 0.8779]","[0.5432, 0.5568]",-,-,-,-,-,-,-,-,-,-,-,-,-
Credit,10,"[0.2791, 0.2939]","[0.0656, 0.1036]","[0.2636, 0.281]","[6.9484, 7.9154]","[123.0236, 124.9462]","[0.3054, 0.3162]","[0.1096, 0.1192]","[0.283, 0.2948]","[8.0116, 8.6908]","[124.986, 126.2632]","[0.3112, 0.323]","[0.1208, 0.127]","[0.2852, 0.2986]","[8.1309, 8.9229]","[127.5519, 129.5137]","[0.3266, 0.334]","[0.1229, 0.1291]","[0.3006, 0.3098]","[9.0348, 9.6052]","[131.4675, 133.4017]","[0.3334, 0.346]","[0.1355, 0.1467]","[0.3023, 0.3155]","[9.1432, 9.961]","[143.4248, 145.6088]","[0.8116, 0.815]","[0.617, 0.6238]",-,"[0.81, 0.814]","[0.6189, 0.6237]",-,"[0.81, 0.8118]","[0.6145, 0.6207]",-,"[0.8081, 0.8125]","[0.6145, 0.6221]",-,"[0.8074, 0.8122]","[0.6149, 0.6223]",-
