,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Median/mode,,,,,MICE,,,,,kNN,,,,,MissForest,,,,,GAIN v1,,,,,GAIN v2,,,,
Dataset,Missing %,Additional CTGAN data%,mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds)
Mushroom,10,0,0.3955,-,0.3955,15.6410,0.0088,0.2992,-,0.2992,8.9540,"16,623.0000",0.2938,-,0.2938,8.6331,13.0536,0.2738,-,0.2738,7.4981,234.6251,0.3012,-,0.3012,9.0751,219.3784,0.3079,-,0.3079,9.4840,86.9120
,,50,0.4026,-,0.4026,16.2103,0.0129,0.3185,-,0.3185,10.1444,"30,812.9900",0.2973,-,0.2973,8.8401,23.1802,0.2752,-,0.2752,7.5721,190.4786,0.3098,-,0.3098,9.6035,220.0752,0.3532,-,0.3532,12.4776,87.3286
,,100,0.4035,-,0.4035,16.2828,0.0191,0.3354,-,0.3354,11.2520,"35,016.3100",0.2991,-,0.2991,8.9436,28.3888,0.2755,-,0.2755,7.5881,195.3887,0.3147,-,0.3147,9.9063,220.2326,0.3531,-,0.3531,12.4724,87.7730
,,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3169,-,0.3169,10.0461,202.9568,0.3682,-,0.3682,13.5687,94.6598
,,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3307,-,0.3307,10.9378,273.9795,0.4168,-,0.4168,17.3811,89.4766
,30,0,0.3964,-,0.3964,15.7140,0.0088,0.3071,-,0.3071,9.4312,"13,624.0000",0.2857,-,0.2857,8.1649,33.8431,0.2946,-,0.2946,8.6782,226.0323,0.3106,-,0.3106,9.6935,491.4529,0.2986,-,0.2986,8.9153,133.0322
,,50,0.4083,-,0.4083,16.6742,0.0117,0.2919,-,0.2919,8.5197,"21,595.5600",0.2855,-,0.2855,8.1510,50.7801,0.2907,-,0.2907,8.4540,167.5020,0.3004,-,0.3004,9.0233,320.3635,0.3001,-,0.3001,9.0064,133.6565
,,100,0.4083,-,0.4083,16.6742,0.0255,0.2864,-,0.2864,8.1997,"50,137.0800",0.2854,-,0.2854,8.1475,86.1779,0.2906,-,0.2906,8.4429,197.2753,0.3029,-,0.3029,9.1750,313.3883,0.3028,-,0.3028,9.1675,133.7602
,,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3074,-,0.3074,9.4500,292.4889,0.3041,-,0.3041,9.2513,133.6157
,,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3120,-,0.3120,9.7363,295.5243,0.3116,-,0.3116,9.7095,134.7257
,50,0,0.3978,-,0.3978,15.8236,0.0098,0.3194,-,0.3194,10.2035,"9,907.0000",0.3122,-,0.3122,9.7443,55.9795,0.3084,-,0.3084,9.5111,219.9948,0.3023,-,0.3023,9.1395,289.4416,0.3110,-,0.3110,9.6780,133.8178
,,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Letter,10,0,0.1555,0.1555,-,-,0.0231,0.1522,0.1522,-,-,798.0000,0.0563,0.0563,-,-,20.0696,0.0668,0.0668,-,-,150.4569,0.1307,0.1307,-,-,80.7946,0.1489,0.1489,-,-,32.8274
,,50,0.1569,0.1569,-,-,0.0245,0.1776,0.1776,-,-,"1,247.5640",0.0564,0.0564,-,-,30.0753,0.0669,0.0669,-,-,170.4551,0.1441,0.1441,-,-,82.5710,0.1552,0.1552,-,-,33.5720
,,100,0.1569,0.1569,-,-,0.0331,0.1831,0.1831,-,-,"1,769.7750",0.0568,0.0568,-,-,39.2864,0.0670,0.0670,-,-,239.2756,0.1447,0.1447,-,-,83.0033,0.1619,0.1619,-,-,28.5619
,,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1509,0.1509,-,-,86.3958,0.1704,0.1704,-,-,33.3429
,,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1565,0.1565,-,-,94.0636,0.1926,0.1926,-,-,33.4046
,30,0,0.1551,0.1551,-,-,0.0192,0.1614,0.1614,-,-,634.0000,0.0949,0.0949,-,-,41.0851,0.0863,0.0863,-,-,181.5598,0.1410,0.1410,-,-,21.2775,0.1381,0.1381,-,-,7.0703
,,50,0.1604,0.1604,-,-,0.0276,0.2054,0.2054,-,-,"1,304.5640",0.0948,0.0948,-,-,65.8943,0.0874,0.0874,-,-,222.8474,0.2241,0.2241,-,-,22.6122,0.2266,0.2266,-,-,7.4875
,,100,0.1717,0.1717,-,-,0.0325,0.2179,0.2179,-,-,"7,200.4490",0.0949,0.0949,-,-,97.6715,0.0874,0.0874,-,-,309.1806,0.2421,0.2421,-,-,23.4082,0.2532,0.2532,-,-,7.7362
,,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2681,0.2681,-,-,26.1355,0.2557,0.2557,-,-,8.6405
,,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2691,0.2691,-,-,262.0605,0.2622,0.2622,-,-,10.7681
