Better with CTGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Median/mode,,,,,MICE,,,,,kNN,,,,,MissForest,,,,,GAIN v1,,,,,GAIN v2,,,,,,Standard Deviation MissForest,,,,,Standard Deviation GAIN v1,,,,,Standard Deviation GAIN v2,,,,
Dataset,Missing %,mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),,mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds)
50% increased data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50% increased data,,,,,,,,,,,,,,
Mushroom,10,0.4026,-,0.4026,16.2103,0.0129,0.3185,-,0.3185,10.1444,"30,812.9900",0.2973,-,0.2973,8.8401,23.1802,0.2752,-,0.2752,7.5721,190.4786,0.3098,-,0.3098,9.6035,220.0752,0.3532,-,0.3532,12.4776,87.3286,,0.0011,-,0.0011,0.0584,31.1049,0.0063,-,0.0063,0.3877,1.2104,0.0069,-,0.0069,0.487,0.91
,30,0.4083,-,0.4083,16.6742,0.0117,0.2919,-,0.2919,8.5197,"21,595.5600",0.2855,-,0.2855,8.1510,50.7801,0.2907,-,0.2907,8.4540,167.5020,0.3004,-,0.3004,9.0233,320.3635,0.3001,-,0.3001,9.0064,133.6565,,0.0021,-,0.0021,0.1241,31.0112,0.0039,-,0.0039,0.2354,1.7066,0.0023,-,0.0023,0.1367,1.4616
Letter,10,0.1569,0.1569,-,-,0.0245,0.1776,0.1776,-,-,"1,247.5640",0.0564,0.0564,-,-,30.0753,0.0669,0.0669,-,-,170.4551,0.1441,0.1441,-,-,82.5710,0.1552,0.1552,-,-,33.5720,,0.0002,0.0002,-,-,23.2434,0.0053,0.0053,-,-,1.7890,0.0093,0.0093,-,-,3.2564
,30,0.1604,0.1604,-,-,0.0276,0.2054,0.2054,-,-,"1,304.5640",0.0948,0.0948,-,-,65.8943,0.0874,0.0874,-,-,222.8474,0.2241,0.2241,-,-,22.6122,0.2266,0.2266,-,-,7.4875,,0.0003,0.0003,-,-,18.5715,0.0125,0.0125,-,-,0.0329,0.0087,0.0087,-,-,0.0447
Bank,10,0.5012,0.2663,0.4245,18.0236,0.0705,0.4583,0.1926,0.4159,17.2990,"55,749.5100",0.3900,0.1204,0.3709,13.7589,429.3248,0.3623,0.0787,0.3536,12.5053,667.0185,0.5078,0.2508,0.4411,19.4676,105.4820,0.5029,0.2356,0.4440,19.7166,42.6537,,0.0014,0.0006,0.0015,0.1047,111.7572,0.0132,0.0208,0.0117,1.0350,0.9119,0.0113,0.0193,0.0063,0.5649,1.3045
,30,0.4927,0.2556,0.4212,17.7406,0.0650,0.4878,0.2212,0.4348,18.9012,"31,385.9900",0.3897,0.1302,0.3673,13.4922,"1,455.7339",0.3714,0.0912,0.3600,12.9625,519.8957,0.5309,0.2786,0.4515,20.3978,128.1379,0.5348,0.2655,0.4642,21.5671,52.9229,,0.0022,0.0009,0.0023,0.1669,60.6675,0.0132,0.0205,0.0094,0.8539,2.1009,0.0111,0.0031,0.0134,1.2447,1.0824
Credit,10,0.3410,0.0728,0.3332,11.1004,0.0717,0.2935,0.0773,0.2831,8.0146,"62,607.1400",0.2490,0.0531,0.2433,5.9188,371.5996,0.2599,0.0477,0.2555,6.5265,"1,244.0736",0.3108,0.1144,0.2889,8.3512,125.6246,0.3051,0.1329,0.2744,7.5363,48.5927,,0.0014,0.0001,0.0014,0.0729,263.9202,0.0076,0.0067,0.0083,0.4747,0.8927,0.0097,0.0112,0.0070,0.3885,0.8255
,30,0.3366,0.0704,0.3291,10.8315,0.0650,0.3063,0.0700,0.2982,8.8926,"73,280.6600",0.2631,0.0548,0.2574,6.6241,"1,315.7652",0.2827,0.0516,0.2780,7.7285,"1,093.8533",0.2955,0.0851,0.2829,8.0099,126.5915,0.3301,0.0956,0.3158,9.9887,48.3202,,0.0018,0.0001,0.0018,0.1009,21.5600,0.0060,0.0056,0.0068,0.3894,1.8222,0.0120,0.0088,0.0128,0.8121,0.5054
News,10,0.5085,0.1953,0.4696,22.0487,0.2228,0.4567,0.1874,0.4165,17.3483,"167,948.8000",0.3830,0.1139,0.3657,13.3746,510.4984,0.3775,0.0668,0.3716,13.8060,"17,908.8383",0.5528,0.2261,0.5040,25.6637,159.0499,0.5337,0.2478,0.4727,22.3471,58.9748,,0.0015,0.0007,0.0015,0.1133,"10,354.9843",0.0468,0.0070,0.0507,5.3698,1.5760,0.0080,0.0054,0.0084,0.7938,1.9862
100% increased data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100% increased data,,,,,,,,,,,,,,
Mushroom,10,0.4035,-,0.4035,16.2828,0.0191,0.3354,-,0.3354,11.2520,"35,016.3100",0.2991,-,0.2991,8.9436,28.3888,0.2755,-,0.2755,7.5881,195.3887,0.3147,-,0.3147,9.9063,220.2326,0.3531,-,0.3531,12.4724,87.7730,,0.0012,-,0.0012,0.0643,33.3255,0.0074,-,0.0074,0.4655,1.3981,0.0045,-,0.0045,0.3175,1.5361
,30,0.4083,-,0.4083,16.6742,0.0255,0.2864,-,0.2864,8.1997,"50,137.0800",0.2854,-,0.2854,8.1475,86.1779,0.2906,-,0.2906,8.4429,197.2753,0.3029,-,0.3029,9.1750,313.3883,0.3028,-,0.3028,9.1675,133.7602,,0.0012,-,0.0012,0.0691,23.9127,0.0047,-,0.0047,0.2829,1.3051,0.0037,-,0.0037,0.2227,1.1998
Letter,10,0.1569,0.1569,-,-,0.0331,0.1831,0.1831,-,-,"1,769.7750",0.0568,0.0568,-,-,39.2864,0.0670,0.0670,-,-,239.2756,0.1447,0.1447,-,-,83.0033,0.1619,0.1619,-,-,28.5619,,0.0002,0.0002,-,-,46.7399,0.0052,0.0052,-,-,0.9183,0.0095,0.0095,-,-,2.5168
,30,0.1717,0.1717,-,-,0.0325,0.2179,0.2179,-,-,"7,200.4490",0.0949,0.0949,-,-,97.6715,0.0874,0.0874,-,-,309.1806,0.2421,0.2421,-,-,23.4082,0.2532,0.2532,-,-,7.7362,,0.0003,0.0003,-,-,4.0860,0.0106,0.0106,-,-,0.0466,0.0059,0.0059,-,-,0.0351
Bank,10,0.4998,0.2662,0.4230,17.8898,0.0842,0.4738,0.2041,0.4276,18.2821,"70,437.8300",0.3906,0.1215,0.3712,13.7773,680.5893,0.3627,0.0786,0.3541,12.5362,977.0187,0.5263,0.2757,0.4478,20.0674,107.2780,0.5288,0.2609,0.4598,21.1567,43.0019,,0.0015,0.0006,0.0016,0.1129,220.5877,0.0252,0.0311,0.0133,1.2051,1.4130,0.0117,0.0115,0.0112,1.0265,1.3396
,30,0.4954,0.2609,0.4212,17.7406,0.0916,0.4982,0.2320,0.4409,19.4418,"56,398.3800",0.3896,0.1303,0.3672,13.4845,"3,290.0957",0.3735,0.0909,0.3623,13.1256,666.6593,0.5374,0.2845,0.4556,20.7813,130.6764,0.5466,0.2746,0.4726,22.3444,54.3152,,0.0028,0.0009,0.0029,0.2096,144.6294,0.0116,0.0129,0.0159,1.4443,1.6839,0.0081,0.0055,0.0078,0.7340,1.0851
Credit,10,0.3413,0.0742,0.3332,11.1004,0.0957,0.3017,0.0812,0.2906,8.4432,"97,838.2700",0.2488,0.0534,0.2430,5.9059,561.0505,0.2587,0.0477,0.2543,6.4657,"3,369.6949",0.3171,0.1239,0.2919,8.5269,128.5328,0.3182,0.1428,0.2840,8.0699,49.4474,,0.0015,0.0001,0.0015,0.0771,730.8849,0.0083,0.0043,0.0093,0.5536,1.3713,0.0082,0.0145,0.0066,0.3769,0.9552
,30,0.3367,0.0711,0.3291,10.8315,0.0874,0.3148,0.0692,0.3071,9.4295,"78,805.9900",0.2633,0.0548,0.2576,6.6342,"2,299.9039",0.2829,0.0517,0.2782,7.7378,"1,483.2502",0.2977,0.0892,0.2840,8.0690,128.0890,0.3403,0.1089,0.3223,10.3919,49.1599,,0.0016,0.0001,0.0016,0.0883,130.3326,0.0055,0.0057,0.0045,0.2596,1.1141,0.0088,0.0111,0.0081,0.5232,0.8573
News,10,0.5098,0.1985,0.4696,22.0487,0.3152,0.4741,0.2041,0.4279,18.3069,"389,598.1000",0.3827,0.1140,0.3653,13.3436,977.3805,0.3778,0.0671,0.3718,13.8253,"19,145.3693",0.5666,0.2290,0.5172,27.5346,170.0710,0.5427,0.2632,0.4745,22.5234,58.6028,,0.0014,0.0012,0.0014,0.1013,"3,013.6539",0.0830,0.0105,0.0883,9.3629,1.5370,0.0070,0.0095,0.0070,0.6630,0.8151
200% increased data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200% increased data,,,,,,,,,,,,,,
