Smallest value,Highest value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Median/mode,,,,,MICE,,,,,kNN,,,,,MissForest,,,,,GAIN v1,,,,,GAIN v2,,,,,,Standard Deviation MissForest,,,,,Standard Deviation GAIN v1,,,,,Standard Deviation GAIN v2,,,,
Dataset,Missing %,mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),,mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds)
Mushroom,10,0.3955,-,0.3955,15.6410,0.0088,0.2992,-,0.2992,8.9540,"16,623.0",0.2938,-,0.2938,8.6331,13.0536,0.2738,-,0.2738,7.4981,234.6251,,-,,,,,-,,,,,0.0012,-,0.0012,0.0672,15.2347,,,,,,,,,,
,30,0.3964,-,0.3964,15.7140,0.0088,0.3071,-,0.3071,9.4312,"13,624.0",0.2857,-,0.2857,8.1649,33.8431,0.2946,-,0.2946,8.6782,226.0323,,-,,,,,-,,,,,0.0013,-,0.0013,0.0763,15.9593,,,,,,,,,,
,50,0.3978,-,0.3978,15.8236,0.0098,0.3194,-,0.3194,10.2035,"9,907.0",0.3122,-,0.3122,9.7443,55.9795,0.3084,-,0.3084,9.5111,219.9948,,-,,,,,-,,,,,0.0007,-,0.0007,0.0453,8.3034,,,,,,,,,,
Letter,10,0.1555,0.1555,-,-,0.0231,0.1522,0.1522,-,-,798.0,0.0563,0.0563,-,-,20.0696,0.0668,0.0668,-,-,150.4569,,,-,-,,,,-,-,,,0.0002,0.0002,-,-,4.3683,,,,,,,,,,
,30,0.1551,0.1551,-,-,0.0192,0.1614,0.1614,-,-,634.0,0.0949,0.0949,-,-,43.3355,0.0863,0.0863,-,-,181.5598,,,-,-,,,,-,-,,,0.0003,0.0003,-,-,4.3650,,,,,,,,,,
,50,0.1561,0.1561,-,-,0.0201,0.1736,0.1736,-,-,469.0,0.1421,0.1421,-,-,41.0851,0.1117,0.1117,-,-,181.7431,,,-,-,,,,-,-,,,0.0003,0.0003,-,-,5.1825,,,,,,,,,,
Bank,10,0.4957,0.2661,0.4182,17.4882,0.0441,0.4280,0.1585,0.3976,15.8082,"27,945.0",0.3891,0.1201,0.3701,13.6989,242.7307,0.3601,0.0790,0.3514,12.3461,373.9059,,,,,,,,,,,,0.0012,0.0006,0.0013,0.0939,56.2091,,,,,,,,,,
,30,0.4942,0.2636,0.4180,17.4764,0.0489,0.4496,0.1823,0.4110,16.8900,"19,092.0",0.3905,0.1309,0.3679,13.5349,554.8403,0.3739,0.0915,0.3625,13.1404,343.9106,,,,,,,,,,,,0.0017,0.0008,0.0016,0.1155,32.9080,,,,,,,,,,
,50,0.4959,0.2671,0.4179,17.4599,0.0477,0.4752,0.2148,0.4239,17.9660,"13,067.0",0.4389,0.1914,0.3950,15.5999,"1,152.8814",0.4074,0.1255,0.3876,15.0221,367.9164,,,,,,,,,,,,0.0012,0.0019,0.0013,0.0013,37.5680,,,,,,,,,,
Credit,10,0.3412,0.0711,0.3338,11.1390,0.0482,0.2694,0.0667,0.2610,6.8145,"53,815.9",0.2488,0.0525,0.2432,5.9145,212.3275,0.2623,0.0481,0.2578,6.6485,876.7438,,,,,,,,,,,,0.0015,0.0001,0.0015,0.0776,79.4117,,,,,,,,,,
,30,0.3366,0.0707,0.3291,10.8315,0.0479,0.2852,0.0709,0.2762,7.6288,"37,228.0",0.2631,0.0548,0.2573,6.6212,426.9053,0.2731,0.0517,0.2682,14.9487,726.0621,,,,,,,,,,,,0.0010,0.0001,0.0010,0.0544,89.0829,,,,,,,,,,
,50,0.3376,0.0711,0.3301,10.8933,0.0447,0.3048,0.0744,0.2956,8.7387,"46,321.3",0.2805,0.0628,0.2734,7.4761,412.7396,0.2895,0.0567,0.2839,8.0616,751.1649,,,,,,,,,,,,0.0008,0.0003,0.0008,0.0442,98.5402,,,,,,,,,,
News,10,0.5046,0.1942,0.4658,21.6931,0.1543,0.3975,0.1412,0.3716,13.8075,"106,131.0",0.3824,0.1138,0.3651,13.3282,200.3602,0.3807,0.0667,0.3748,14.0472,"4,563.4597",,,,,,,,,,,,0.0024,0.0018,0.0024,0.1798,521.5579,,,,,,,,,,
,30,0.5046,0.1954,0.4652,21.6391,0.1478,0.4273,0.1606,0.3960,15.6822,"121,295.4",0.4226,0.1319,0.4015,16.1178,815.9997,0.3978,0.0936,0.3866,14.9487,"3,966.0575",,,,,,,,,,,,0.0012,0.0003,0.0012,0.0960,429.3943,,,,,,,,,,
,50,0.5041,0.1954,0.4646,21.5900,0.1457,0.4561,0.1840,0.4173,17.4153,"95,325.7",0.4671,0.1539,0.4410,19.4521,"1,082.1920",0.4082,0.1228,0.3892,15.1518,"2,781.4976",,,,,,,,,,,,0.0018,0.0004,0.0019,0.1469,334.6382,,,,,,,,,,
