,,,,,,,,,,,,,,,,,,,,,,,,,
,,IMPUTATION,,,,,,,,,,,,,,,PREDICTION,,,,,,,,
,,0 % CTGAN,,,,,50 % CTGAN,,,,,100 % CTGAN,,,,,0 % CTGAN,,,50 % CTGAN,,,100 % CTGAN,,
Dataset,Missing %,mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),Accuracy,AUROC,MSE,Accuracy,AUROC,MSE,Accuracy,AUROC,MSE
Mushroom,10,"[0.2729, 0.2747]",-,"[0.2729, 0.2747]","[7.45, 7.5462]","[223.7276, 245.5226]","[0.2744, 0.276]",-,"[0.2744, 0.276]","[7.5303, 7.6139]","[168.229, 212.7282]","[0.2746, 0.2764]",-,"[0.2746, 0.2764]","[7.5421, 7.6341]","[171.5507, 219.2267]","[0.9969, 0.9969]","[0.9968, 0.9968]",-,"[0.9969, 0.9969]","[0.9968, 0.9968]",-,"[0.9969, 0.9969]","[0.9968, 0.9968]",-
,30,"[0.2937, 0.2955]",-,"[0.2937, 0.2955]","[8.6236, 8.7328]","[214.6165, 237.4481]","[0.2892, 0.2922]",-,"[0.2892, 0.2922]","[8.3652, 8.5428]","[145.3195, 189.6845]","[0.2897, 0.2915]",-,"[0.2897, 0.2915]","[8.3935, 8.4923]","[180.1704, 214.3802]","[0.983, 0.9882]","[0.9824, 0.9876]",-,"[0.9854, 0.99]","[0.9847, 0.9895]",-,"[0.9848, 0.99]","[0.9869, 0.9869]",-
,50,"[0.3079, 0.3089]",-,"[0.3079, 0.3089]","[9.4787, 9.5435]","[214.0553, 225.9343]",-,-,-,-,-,-,-,-,-,-,"[0.9529, 0.9629]","[0.9514, 0.9616]",-,-,-,-,-,-,-
Letter,10,"[0.0667, 0.0669]","[0.0667, 0.0669]",-,-,"[147.3322, 153.5816]","[0.0668, 0.067]","[0.0668, 0.067]",-,-,"[153.8289, 187.0813]","[0.0669, 0.0671]","[0.0669, 0.0671]",-,-,"[205.8422, 272.709]","[0.8442, 0.8488]","[0.918, 0.9202]",-,"[0.8425, 0.8455]","[0.9166, 0.9184]",-,"[0.8421, 0.8459]","[0.8431, 0.8449]",-
,30,"[0.0861, 0.0865]","[0.0861, 0.0865]",-,-,"[178.4375, 184.6821]","[0.0872, 0.0876]","[0.0872, 0.0876]",-,-,"[209.5631, 236.1317]","[0.0872, 0.0876]","[0.0872, 0.0876]",-,-,"[306.2579, 312.1033]","[0.6633, 0.6775]","[0.8252, 0.8324]",-,"[0.6635, 0.6713]","[0.8259, 0.8303]",-,"[0.6616, 0.675]","[0.8246, 0.8316]",-
,50,"[0.1115, 0.1119]","[0.1115, 0.1119]",-,-,"[178.036, 185.4502]",-,-,-,-,-,-,-,-,-,-,"[0.469, 0.4838]","[0.7271, 0.7339]",-,-,-,-,-,-,-
Bank,10,"[0.3592, 0.361]","[0.0786, 0.0794]","[0.3505, 0.3523]","[12.2789, 12.4133]","[333.6991, 414.1127]","[0.3613, 0.3633]","[0.0783, 0.0791]","[0.3525, 0.3547]","[12.4304, 12.5802]","[587.0778, 746.9592]","[0.3616, 0.3638]","[0.0782, 0.079]","[0.353, 0.3552]","[12.4554, 12.617]","[819.2307, 1134.8067]","[0.8829, 0.8847]","[0.5845, 0.5909]",-,"[0.8825, 0.8843]","[0.5835, 0.5917]",-,"[0.8834, 0.8846]","[0.587, 0.5922]",-
