Dataset,Missing%,Additional CTGAN data%,Average mRMSE,St Dev mRMSE,Average RMSE num,St Dev RMSE num,Average RMSE cat,St Dev RMSE cat,Average PFC (%),St Dev PFC (%),Average execution time (s),St Dev execution time (s)
mushroom,10,0,0.303,0.0052,,,0.303,0.0052,9.1853,0.3143,239.6452,10.0265
mushroom,10,50,0.3123,0.0051,,,0.3123,0.0051,9.7552,0.32,236.5515,7.8513
mushroom,10,100,0.3127,0.0085,,,0.3127,0.0085,9.7878,0.5352,225.6113,3.3064
mushroom,30,0,0.3145,0.0398,,,0.3145,0.0398,10.0491,2.8412,323.7531,26.7738
mushroom,30,50,0.3027,0.0038,,,0.3027,0.0038,9.1666,0.2281,256.6305,19.7421
mushroom,30,100,0.3026,0.0039,,,0.3026,0.0039,9.1571,0.2389,414.2125,153.5628
mushroom,50,0,0.3091,0.0099,,,0.3091,0.0099,9.5622,0.6231,336.1541,2.8841
letter,10,0,0.1318,0.0041,0.1318,0.0041,,,,,88.8568,1.8666
letter,10,50,0.1476,0.0061,0.1476,0.0061,,,,,89.6143,1.2733
letter,10,100,0.1475,0.0093,0.1475,0.0093,,,,,90.8129,1.7414
letter,30,0,0.1444,0.0084,0.1444,0.0084,,,,,27.3598,0.2843
letter,30,50,0.2119,0.0102,0.2119,0.0102,,,,,28.6797,0.3267
letter,30,100,0.2318,0.0107,0.2318,0.0107,,,,,29.7203,0.3791
letter,50,0,0.1528,0.0061,0.1528,0.0061,,,,,27.3028,0.3354
bank,10,0,0.4638,0.0197,0.2195,0.018,0.4084,0.0145,16.6992,1.1952,112.5894,5.5203
bank,10,50,0.5091,0.0159,0.2492,0.0267,0.4432,0.0138,19.6605,1.2588,117.7723,1.6132
bank,10,100,0.5301,0.0174,0.2611,0.0092,0.461,0.0209,21.299,1.9352,108.9427,1.228
bank,30,0,0.4986,0.0134,0.2609,0.0273,0.4239,0.0161,17.994,1.3517,142.0375,1.8138
bank,30,50,0.53,0.0214,0.2747,0.0133,0.4532,0.0188,20.5766,1.7222,144.7492,2.6516
bank,30,100,0.5314,0.0164,0.2845,0.0166,0.4485,0.0163,20.1457,1.4739,135.9881,5.7277
bank,50,0,0.4943,0.0225,0.2422,0.0261,0.4303,0.0195,18.5502,1.7017,139.4815,1.3382
credit,10,0,0.284,0.012,0.0864,0.0213,0.2699,0.0086,7.2913,0.4648,138.2548,1.3918
credit,10,50,0.3118,0.0156,0.1143,0.0069,0.2901,0.0143,8.4365,0.8534,140.5089,1.3607
credit,10,100,0.3303,0.0206,0.1206,0.0059,0.3074,0.0204,9.4906,1.2714,142.4488,2.0794
credit,30,0,0.3042,0.019,0.1362,0.0359,0.2702,0.0061,7.3061,0.3309,131.4647,6.303
credit,30,50,0.2946,0.0062,0.0832,0.0052,0.2826,0.0064,7.9905,0.3631,141.4452,2.44
credit,30,100,0.3032,0.0044,0.0997,0.0099,0.2862,0.0048,8.1926,0.278,145.0157,6.7263
credit,50,0,0.3323,0.0301,0.1601,0.0478,0.2885,0.0137,8.3405,0.8195,139.6545,1.9665
news,10,0,0.4921,0.0442,0.1993,0.0097,0.4491,0.0512,20.4291,4.6177,166.6236,11.4264
news,10,50,0.5298,0.038,0.2227,0.0118,0.4806,0.0377,23.2431,3.5562,177.7556,8.3492
news,10,100,0.5761,0.0722,0.2295,0.0085,0.5274,0.0792,28.4399,8.7073,169.1683,8.9798
news,30,0,0.5677,0.0199,0.2842,0.0232,0.4907,0.0241,24.1349,2.3631,132.5646,1.7794
news,50,0,0.495,0.0358,0.2009,0.0085,0.4521,0.0386,20.585,3.6085,181.5557,5.2595
