Dataset,Missing%,Additional CTGAN data%,Average mRMSE,St Dev mRMSE,Average RMSE num,St Dev RMSE num,Average RMSE cat,St Dev RMSE cat,Average PFC (%),St Dev PFC (%),Average execution time (s),St Dev execution time (s)
mushroom,10,200,0.3208,0.0087,,,0.3208,0.0087,10.2976,0.5692,231.9904,10.521
mushroom,10,500,0.3271,0.0074,,,0.3271,0.0074,10.706,0.4825,248.8258,7.9165
mushroom,30,200,0.3084,0.0045,,,0.3084,0.0045,9.5159,0.2796,358.219,7.6654
mushroom,30,500,0.3122,0.0036,,,0.3122,0.0036,9.7511,0.2266,362.8625,8.7022
letter,10,200,0.1506,0.0052,0.1506,0.0052,,,,,107.8983,10.8787
letter,10,500,0.159,0.0039,0.159,0.0039,,,,,94.8414,4.5021
letter,30,200,0.2595,0.0138,0.2595,0.0138,,,,,32.3637,0.6961
letter,30,500,0.2717,0.0069,0.2717,0.0069,,,,,35.7366,1.4036
bank,10,200,0.523,0.0209,0.2663,0.0155,0.4499,0.0207,20.2813,1.8896,125.9532,5.657
bank,10,500,0.5351,0.0188,0.2837,0.0248,0.4533,0.0096,20.5559,0.8761,180.0864,14.6554
bank,30,200,0.5484,0.0119,0.2973,0.0149,0.4605,0.017,21.2313,1.5745,154.8445,20.0207
bank,30,500,0.5366,0.0115,0.3002,0.0173,0.4445,0.0082,19.7617,0.7372,184.6211,10.2524
credit,10,200,0.3192,0.0061,0.1225,0.0059,0.2947,0.0061,8.6909,0.3574,149.1958,9.2989
credit,10,500,0.342,0.0116,0.1374,0.0049,0.3131,0.0123,9.8157,0.7783,152.5547,18.1895
credit,30,200,0.3066,0.0089,0.088,0.009,0.2936,0.0093,8.6284,0.5504,134.5393,8.4185
credit,30,500,0.3237,0.0074,0.0881,0.0044,0.3114,0.0075,9.7044,0.4664,152.2505,11.7246
news,10,200,0.5867,0.0376,0.2294,0.0069,0.5396,0.0415,29.2926,4.4382,189.516,8.0804
news,10,500,0.5571,0.0278,0.2334,0.0054,0.5056,0.0317,25.6645,3.1723,190.4483,4.7599
