Dataset,Missing%,Additional CTGAN data%,Average mRMSE,Average RMSE num,Average RMSE cat,Average PFC (%),Average execution time (s),St Dev mRMSE,St Dev RMSE num,St Dev RMSE cat,St Dev PFC (%),St Dev execution time (s)
mushroom,10,0,0.3092,-,0.3092,9.5595,86.912,0.0047,-,0.0047,0.2888,0.9662
mushroom,30,0,0.2987,-,0.2987,8.9222,133.0322,0.0033,-,0.0033,0.1946,1.1794
mushroom,50,0,0.3104,-,0.3104,9.6372,133.8178,0.0048,-,0.0048,0.3037,1.5562
letter,10,0,0.1452,0.1452,-,-,32.8274,0.0067,0.0067,-,-,6.664
letter,30,0,0.1347,0.1347,-,-,7.0703,0.0042,0.0042,-,-,0.0424
letter,50,0,0.1407,0.1407,-,-,6.8924,0.0034,0.0034,-,-,0.0233
bank,10,0,0.4493,0.1651,0.4178,17.4628,42.2187,0.0063,0.0076,0.0064,0.534,1.8605
bank,30,0,0.4918,0.22,0.4397,19.3375,54.2925,0.0107,0.015,0.009,0.7912,0.5777
bank,50,0,0.5447,0.3053,0.4499,20.2758,52.2066,0.0235,0.036,0.0194,1.7656,0.7102
credit,10,0,0.2868,0.1058,0.2646,7.0018,47.9572,0.0152,0.0358,0.0047,0.2458,0.9722
credit,30,0,0.3185,0.1317,0.2882,8.3142,47.7763,0.0198,0.0371,0.0092,0.534,0.2137
credit,50,0,0.3458,0.1973,0.2832,8.0218,49.4874,0.0138,0.025,0.0061,0.3487,5.8603
news,10,0,0.5145,0.2134,0.468,21.9142,60.4982,0.0103,0.0094,0.0101,0.9522,1.5414
news,30,0,0.5177,0.2625,0.446,19.8998,43.1571,0.0111,0.0164,0.0105,0.94,0.4283
news,50,0,0.5311,0.2362,0.4756,22.6753,60.5239,0.0257,0.0141,0.0234,2.2696,8.3547
mushroom,10,50,0.3516,-,0.3516,12.3679,87.3286,0.0076,-,0.0076,0.535,0.91
mushroom,30,50,0.3025,-,0.3025,9.1515,133.6565,0.0026,-,0.0026,0.1566,1.4616
letter,10,50,0.1544,0.1544,-,-,33.572,0.0078,0.0078,-,-,3.2564
letter,30,50,0.224,0.224,-,-,7.4875,0.0053,0.0053,-,-,0.0447
bank,10,50,0.5033,0.2344,0.445,19.8094,42.6537,0.012,0.0206,0.0076,0.6748,1.3045
bank,30,50,0.5328,0.267,0.461,21.2579,52.9229,0.0077,0.0049,0.0095,0.8847,1.0824
credit,10,50,0.3019,0.1313,0.2717,7.3863,48.5927,0.004,0.0081,0.0048,0.2615,0.8255
credit,30,50,0.3331,0.0956,0.3189,10.1865,48.3202,0.0115,0.0091,0.0117,0.7492,0.5054
news,10,50,0.5314,0.2427,0.4727,22.3471,58.9748,0.0067,0.0079,0.0046,0.4377,1.9862
mushroom,10,100,0.3552,-,0.3552,12.635,87.773,0.0136,-,0.0136,1.0023,1.5361
mushroom,30,100,0.3015,-,0.3015,9.0938,133.7602,0.0032,-,0.0032,0.1947,1.1998
letter,10,100,0.1706,0.1706,-,-,28.5619,0.0114,0.0114,-,-,2.5168
letter,30,100,0.2561,0.2561,-,-,7.7362,0.011,0.011,-,-,0.0351
bank,10,100,0.5186,0.253,0.4525,20.4837,43.0019,0.0098,0.0131,0.01,0.9019,1.3396
bank,30,100,0.5418,0.2713,0.4689,21.9949,54.3152,0.0068,0.0034,0.0063,0.595,1.0851
credit,10,100,0.3137,0.1356,0.2827,7.9927,49.4474,0.0069,0.0127,0.0042,0.2384,0.9552
credit,30,100,0.3454,0.102,0.3298,10.901,49.1599,0.0152,0.0107,0.0156,1.0389,0.8573
news,10,100,0.5514,0.269,0.4813,23.1697,58.6028,0.0074,0.0092,0.0073,0.7021,0.8151
mushroom,10,200,0.3685,-,0.3685,13.5831,94.6598,0.0075,-,0.0075,0.5574,11.9198
mushroom,30,200,0.3031,-,0.3031,9.187,133.6157,0.003,-,0.003,0.1809,1.4691
letter,10,200,0.1727,0.1727,-,-,33.3429,0.0075,0.0075,-,-,2.3912
letter,30,200,0.2573,0.2573,-,-,8.6405,0.0101,0.0101,-,-,0.0499
bank,10,200,0.5208,0.2494,0.4571,20.8973,43.6108,0.0106,0.0152,0.0057,0.5187,0.2039
bank,30,200,0.5524,0.279,0.4767,22.7307,55.0712,0.0084,0.0091,0.0071,0.6789,0.8708
credit,10,200,0.3216,0.1403,0.2893,8.3716,50.3687,0.0051,0.0087,0.0047,0.2755,0.5252
credit,30,200,0.3475,0.0831,0.3374,11.4064,50.2976,0.0138,0.0029,0.0139,0.972,0.7753
news,10,200,0.5523,0.2819,0.475,22.5698,60.7719,0.0094,0.0041,0.0108,1.0303,1.1551
mushroom,10,500,0.403,-,0.403,16.258,89.4766,0.0128,-,0.0128,1.0361,1.5971
mushroom,30,500,0.3128,-,0.3128,9.7874,134.7257,0.003,-,0.003,0.1866,1.1532
letter,10,500,0.1926,0.1926,-,-,33.4046,0.0076,0.0076,-,-,1.0228
letter,30,500,0.2696,0.2696,-,-,10.7681,0.0088,0.0088,-,-,0.0312
bank,10,500,-,-,-,22.0327,48.404,-,-,-,1.2585,0.45
bank,30,500,0.5639,0.2942,0.4808,23.1292,59.6233,0.0115,0.0146,0.0105,1.0158,0.7089
credit,10,500,-,-,-,11.835,53.6295,-,-,-,2.8119,0.7845
credit,30,500,0.3772,0.0896,0.3664,13.4356,53.6232,0.0102,0.0027,0.0106,0.7761,0.9449
news,10,500,0.5689,0.3024,0.4817,23.2207,65.3983,0.0096,0.0042,0.0126,1.2158,0.913
